type,coursecode,sectioncode,id,coursetitle
ACCT,1220,0101,6850,"Intro Financial Accounting"
ACCT,1220,0102,6851,"Intro Financial Accounting"
ACCT,1220,0103,6852,"Intro Financial Accounting"
ACCT,1220,0104,6853,"Intro Financial Accounting"
ACCT,1220,0105,6854,"Intro Financial Accounting"
ACCT,1220,0106,6861,"Intro Financial Accounting"
ACCT,1220,0107,6856,"Intro Financial Accounting"
ACCT,1220,0108,6857,"Intro Financial Accounting"
ACCT,1220,0109,6859,"Intro Financial Accounting"
ACCT,1220,0110,6860,"Intro Financial Accounting"
ACCT,1220,DE,3709,"Intro Financial Accounting"
ACCT,2230,01,3710,"Management Accounting"
ACCT,3280,01,3711,"Auditing I"
ACCT,3280,02,3712,"Auditing I"
ACCT,3280,03,3713,"Auditing I"
ACCT,3330,01,3714,"Intermed Financial Account I"
ACCT,3330,02,3715,"Intermed Financial Account I"
ACCT,3340,01,3716,"Intermed Financial Account II"
ACCT,3340,02,3717,"Intermed Financial Account II"
ACCT,3350,01,3718,"Taxation"
ACCT,3350,02,3719,"Taxation"
ACCT,4220,01,3720,"Advanced Financial Accounting"
ACCT,4220,02,3721,"Advanced Financial Accounting"
ACCT,4220,03,3722,"Advanced Financial Accounting"
ACCT,4270,01,3723,"Auditing II"
ACCT,4270,02,3724,"Auditing II"
ACCT,4350,01,3725,"Income Taxation II"
AGR,1110,0101,3727,"Intro to Agri-Food Systems"
AGR,1110,0102,3728,"Intro to Agri-Food Systems"
AGR,1110,0103,3729,"Intro to Agri-Food Systems"
AGR,1110,0104,3730,"Intro to Agri-Food Systems"
AGR,1110,0105,3731,"Intro to Agri-Food Systems"
AGR,2150,01,3733,"Plant Ag. Int'l Development"
AGR,2320,0101,3734,"Soils in Agroecosystems"
AGR,2320,0102,3735,"Soils in Agroecosystems"
AGR,2320,0103,3736,"Soils in Agroecosystems"
AGR,2320,0104,3737,"Soils in Agroecosystems"
AGR,2320,0105,3738,"Soils in Agroecosystems"
AGR,2350,0101,3739,"Animal Prod Sys, Health & Ind"
AGR,2350,0102,3740,"Animal Prod Sys, Health & Ind"
AGR,2350,0103,3741,"Animal Prod Sys, Health & Ind"
AGR,2350,0104,3742,"Animal Prod Sys, Health & Ind"
AGR,2350,0105,3743,"Animal Prod Sys, Health & Ind"
AGR,2350,0106,3744,"Animal Prod Sys, Health & Ind"
AGR,2350,0107,3745,"Animal Prod Sys, Health & Ind"
AGR,2350,0108,3746,"Animal Prod Sys, Health & Ind"
AGR,2470,0101,3747,"Intro to Plant Agriculture"
AGR,2470,0102,3748,"Intro to Plant Agriculture"
AGR,2470,0103,3749,"Intro to Plant Agriculture"
AGR,2470,0104,3750,"Intro to Plant Agriculture"
AGR,2470,0105,3751,"Intro to Plant Agriculture"
AGR,3010,01,3752,"Spec. Studies in Agr. Sci. I"
AGR,3450,0101,3753,"Research Methods"
AGR,3500,01,3754,"Experiential Education I"
AGR,3510,01,3755,"Experiential Education II"
AGR,4010,01,3756,"Spec. Studies in Agr. Sci. II"
AGR,4450,01,3757,"Research Project I"
AGR,4460,01,3758,"Research Project II"
ANSC,2330,01,3759,"Horse Management Science"
ANSC,2340,DE,3760,"Structure of Farm Animals"
ANSC,3080,0101,3761,"Agricultural Animal Physiology"
ANSC,3080,0102,3762,"Agricultural Animal Physiology"
ANSC,3080,0103,3763,"Agricultural Animal Physiology"
ANSC,3080,0104,3764,"Agricultural Animal Physiology"
ANSC,3080,0105,3765,"Agricultural Animal Physiology"
ANSC,3080,0106,3766,"Agricultural Animal Physiology"
ANSC,3120,0101,3767,"Animal Nutrition"
ANSC,3120,0102,3768,"Animal Nutrition"
ANSC,3120,0103,3769,"Animal Nutrition"
ANSC,3120,0104,3770,"Animal Nutrition"
ANSC,4050,0101,3771,"Biotechnology in Animal Sci"
ANSC,4050,0102,3772,"Biotechnology in Animal Sci"
ANSC,4090,01,3773,"Applied Animal Behaviour"
ANSC,4230,01,3774,"Challenges & Opps in Animal Pr"
ANSC,4230,02,3775,"Challenges & Opps in Animal Pr"
ANSC,4270,0101,3776,"Dairy Cattle Nutrition"
ANSC,4280,01,3777,"Poultry Nutrition"
ANSC,4290,01,3778,"Swine Nutrition"
ANSC,4560,01,3779,"Pet Nutrition"
ANSC,4700,01,3780,"Research in Animal Biology I"
ANSC,4710,01,3781,"Research in Animal Biology II"
ANTH,1120,01,3792,"Biological Anthropology"
ANTH,1150,01,3793,"Introduction to Anthropology"
ANTH,1150,02,3794,"Introduction to Anthropology"
ANTH,2230,01,3795,"Regional Ethnography"
ANTH,3650,01,3796,"Prehist/ Cdn Native Peoples"
ANTH,3690,01,3797,"Engaging Anthro Theory"
ANTH,3950,01,3798,"Special Projects in Anthro"
ANTH,4300,01,3799,"Anthropological Issues"
ANTH,4550,01,3800,"Anthropology of Health"
ANTH,4880,01,3801,"Special Proj. in Anthropology"
ANTH,4890,01,3802,"Special Proj. in Anthropology"
ANTH,4900,01,3803,"Honours Anthropology Thesis I"
ANTH,4910,01,3804,"Honours Anthropology Thesis II"
ARTH,1510,01,3811,"Art Historical Studies I"
ARTH,2150,01,3813,"Art & Archaeology of Greece"
ARTH,2220,01,3814,"The Visual Arts Today"
ARTH,2480,01,3815,"Intro Art Theory & Criticism"
ARTH,2540,01,3817,"Medieval Art"
ARTH,3340,01,3818,"Renaissance & Baroque Art"
ARTH,3520,01,3819,"Idea: Art Since 1950"
ARTH,3620,01,3820,"Museum Studies"
ARTH,4340,01,3821,"Art & Visual Culture IV"
ARTH,4350,01,3822,"Art & Visual Culture V"
ARTH,4600,01,3823,"Individual Study - Art History"
ARTH,4800,01,3824,"Experiential Learning"
ASCI,1110,0101,3825,"Society and Inquiry I"
ASCI,1110,0102,3826,"Society and Inquiry I"
ASCI,1110,0103,3827,"Society and Inquiry I"
ASCI,1110,0104,3828,"Society and Inquiry I"
ASCI,1110,0105,3829,"Society and Inquiry I"
ASCI,1110,0106,3830,"Society and Inquiry I"
ASCI,2050,0101,3831,"Uses of Knowledge"
ASCI,2050,0102,3832,"Uses of Knowledge"
ASCI,2050,0103,3833,"Uses of Knowledge"
ASCI,2050,0104,3834,"Uses of Knowledge"
ASCI,3000,01,3836,"Community Project"
ASCI,3700,01,3837,"Independent Stds in Arts/Sci"
ASCI,4020,01,3838,"Topics in Arts & Sci Research"
ASCI,4020,02,3839,"Topics in Arts & Sci Research"
ASCI,4030,01,3840,"Topics in Arts & Sci Research"
ASCI,4700,01,3841,"Independent Stds in Arts/Sci"
ASCI,4700,02,3842,"Independent Stds in Arts/Sci"
ASCI,4700,03,3843,"Independent Stds in Arts/Sci"
ASCI,4710,01,3844,"Independent Stds in Arts/Sci"
BIOC,2580,0101,3855,"Introduction to Biochemistry"
BIOC,2580,0102,3856,"Introduction to Biochemistry"
BIOC,2580,0103,3857,"Introduction to Biochemistry"
BIOC,2580,0104,3858,"Introduction to Biochemistry"
BIOC,2580,0105,3859,"Introduction to Biochemistry"
BIOC,2580,0107,3860,"Introduction to Biochemistry"
BIOC,2580,0109,3861,"Introduction to Biochemistry"
BIOC,2580,0111,3862,"Introduction to Biochemistry"
BIOC,2580,0113,3863,"Introduction to Biochemistry"
BIOC,2580,0115,3864,"Introduction to Biochemistry"
BIOC,2580,0117,3865,"Introduction to Biochemistry"
BIOC,2580,0119,3866,"Introduction to Biochemistry"
BIOC,2580,0121,3867,"Introduction to Biochemistry"
BIOC,2580,0123,3868,"Introduction to Biochemistry"
BIOC,2580,0125,3869,"Introduction to Biochemistry"
BIOC,2580,0127,3870,"Introduction to Biochemistry"
BIOC,2580,0129,3871,"Introduction to Biochemistry"
BIOC,2580,0131,3872,"Introduction to Biochemistry"
BIOC,2580,0133,3873,"Introduction to Biochemistry"
BIOC,2580,0135,3874,"Introduction to Biochemistry"
BIOC,2580,0137,3875,"Introduction to Biochemistry"
BIOC,2580,0139,3876,"Introduction to Biochemistry"
BIOC,2580,0141,3877,"Introduction to Biochemistry"
BIOC,2580,0143,3878,"Introduction to Biochemistry"
BIOC,2580,0145,3879,"Introduction to Biochemistry"
BIOC,2580,0147,3880,"Introduction to Biochemistry"
BIOC,2580,0152,3881,"Introduction to Biochemistry"
BIOC,2580,0206,3884,"Introduction to Biochemistry"
BIOC,2580,0208,3885,"Introduction to Biochemistry"
BIOC,2580,0210,3886,"Introduction to Biochemistry"
BIOC,2580,0212,3887,"Introduction to Biochemistry"
BIOC,2580,0214,3888,"Introduction to Biochemistry"
BIOC,2580,0216,3889,"Introduction to Biochemistry"
BIOC,2580,0218,3890,"Introduction to Biochemistry"
BIOC,2580,0220,3891,"Introduction to Biochemistry"
BIOC,2580,0222,3892,"Introduction to Biochemistry"
BIOC,2580,0224,3893,"Introduction to Biochemistry"
BIOC,2580,0226,3894,"Introduction to Biochemistry"
BIOC,2580,0228,3895,"Introduction to Biochemistry"
BIOC,2580,0230,3896,"Introduction to Biochemistry"
BIOC,2580,0232,3897,"Introduction to Biochemistry"
BIOC,2580,0234,3898,"Introduction to Biochemistry"
BIOC,2580,0236,3899,"Introduction to Biochemistry"
BIOC,2580,0238,3900,"Introduction to Biochemistry"
BIOC,2580,0240,3901,"Introduction to Biochemistry"
BIOC,2580,0242,3902,"Introduction to Biochemistry"
BIOC,2580,0244,3903,"Introduction to Biochemistry"
BIOC,2580,0246,3904,"Introduction to Biochemistry"
BIOC,2580,0248,3905,"Introduction to Biochemistry"
BIOC,2580,0249,3906,"Introduction to Biochemistry"
BIOC,2580,0250,3907,"Introduction to Biochemistry"
BIOC,2580,0251,3908,"Introduction to Biochemistry"
BIOC,2580,0253,3909,"Introduction to Biochemistry"
BIOC,2580,0254,3910,"Introduction to Biochemistry"
BIOC,2580,0304,3912,"Introduction to Biochemistry"
BIOC,2580,0305,3913,"Introduction to Biochemistry"
BIOC,2580,0306,3914,"Introduction to Biochemistry"
BIOC,2580,0311,3915,"Introduction to Biochemistry"
BIOC,2580,0312,3916,"Introduction to Biochemistry"
BIOC,2580,0317,3917,"Introduction to Biochemistry"
BIOC,2580,0318,3918,"Introduction to Biochemistry"
BIOC,2580,0323,3919,"Introduction to Biochemistry"
BIOC,2580,0324,3920,"Introduction to Biochemistry"
BIOC,2580,0329,3921,"Introduction to Biochemistry"
BIOC,2580,0330,3922,"Introduction to Biochemistry"
BIOC,2580,0335,3923,"Introduction to Biochemistry"
BIOC,2580,0336,3924,"Introduction to Biochemistry"
BIOC,2580,0341,3925,"Introduction to Biochemistry"
BIOC,2580,0342,3926,"Introduction to Biochemistry"
BIOC,2580,0343,3927,"Introduction to Biochemistry"
BIOC,2580,0347,3928,"Introduction to Biochemistry"
BIOC,2580,0348,3929,"Introduction to Biochemistry"
BIOC,2580,0349,3930,"Introduction to Biochemistry"
BIOC,2580,0354,3931,"Introduction to Biochemistry"
BIOC,3560,01,3932,"Structure & Function in Bioche"
BIOC,3570,0101,3933,"Analytical Biochemistry"
BIOC,3570,0102,3934,"Analytical Biochemistry"
BIOC,3570,0103,3935,"Analytical Biochemistry"
BIOC,3570,0104,3936,"Analytical Biochemistry"
BIOC,3570,0105,3937,"Analytical Biochemistry"
BIOC,4520,01,3938,"Metabolic Processes"
BIOL,1020,0101,3939,"Introduction to Biology"
BIOL,1020,0102,3940,"Introduction to Biology"
BIOL,1020,0103,3941,"Introduction to Biology"
BIOL,1050,0101,3942,"Biology of Managed Ecosystems"
BIOL,1050,0102,3943,"Biology of Managed Ecosystems"
BIOL,1050,0103,3944,"Biology of Managed Ecosystems"
BIOL,1050,0104,3945,"Biology of Managed Ecosystems"
BIOL,1050,0105,3946,"Biology of Managed Ecosystems"
BIOL,1050,0106,3947,"Biology of Managed Ecosystems"
BIOL,1050,0107,3948,"Biology of Managed Ecosystems"
BIOL,1050,0108,3949,"Biology of Managed Ecosystems"
BIOL,1070,0101,3950,"Discovering Biodiversity"
BIOL,1070,0102,3951,"Discovering Biodiversity"
BIOL,1070,0103,3952,"Discovering Biodiversity"
BIOL,1070,0104,3953,"Discovering Biodiversity"
BIOL,1070,0105,3954,"Discovering Biodiversity"
BIOL,1070,0106,3955,"Discovering Biodiversity"
BIOL,1070,0107,3956,"Discovering Biodiversity"
BIOL,1070,0108,3957,"Discovering Biodiversity"
BIOL,1070,0109,3958,"Discovering Biodiversity"
BIOL,1070,0110,3959,"Discovering Biodiversity"
BIOL,1070,0111,3960,"Discovering Biodiversity"
BIOL,1070,0112,3961,"Discovering Biodiversity"
BIOL,1070,0113,3962,"Discovering Biodiversity"
BIOL,1070,0114,3963,"Discovering Biodiversity"
BIOL,1070,0115,3964,"Discovering Biodiversity"
BIOL,1070,0116,3965,"Discovering Biodiversity"
BIOL,1070,0117,3966,"Discovering Biodiversity"
BIOL,1070,0118,3967,"Discovering Biodiversity"
BIOL,1070,0119,3968,"Discovering Biodiversity"
BIOL,1080,0101,3970,"Biological Concepts of Health"
BIOL,1080,0102,3971,"Biological Concepts of Health"
BIOL,1080,0103,3972,"Biological Concepts of Health"
BIOL,1080,0104,3973,"Biological Concepts of Health"
BIOL,1080,0105,3974,"Biological Concepts of Health"
BIOL,1080,0106,3975,"Biological Concepts of Health"
BIOL,1080,0107,3976,"Biological Concepts of Health"
BIOL,1080,0108,3977,"Biological Concepts of Health"
BIOL,1080,0109,3978,"Biological Concepts of Health"
BIOL,1080,0110,3979,"Biological Concepts of Health"
BIOL,1080,0111,3980,"Biological Concepts of Health"
BIOL,1080,0112,3981,"Biological Concepts of Health"
BIOL,1080,0113,3982,"Biological Concepts of Health"
BIOL,1080,0114,3983,"Biological Concepts of Health"
BIOL,1080,0115,3984,"Biological Concepts of Health"
BIOL,1080,0116,3985,"Biological Concepts of Health"
BIOL,1080,0117,3986,"Biological Concepts of Health"
BIOL,1080,0118,3987,"Biological Concepts of Health"
BIOL,1080,0119,3988,"Biological Concepts of Health"
BIOL,1090,0101,3990,"Intro to Molecular & Cell Biol"
BIOL,1090,0102,3991,"Intro to Molecular & Cell Biol"
BIOL,1090,0103,3992,"Intro to Molecular & Cell Biol"
BIOL,1090,0104,3993,"Intro to Molecular & Cell Biol"
BIOL,1090,0105,3994,"Intro to Molecular & Cell Biol"
BIOL,1090,0106,3995,"Intro to Molecular & Cell Biol"
BIOL,1090,0107,3996,"Intro to Molecular & Cell Biol"
BIOL,1090,0111,4000,"Intro to Molecular & Cell Biol"
BIOL,1090,0112,4001,"Intro to Molecular & Cell Biol"
BIOL,1090,0113,4002,"Intro to Molecular & Cell Biol"
BIOL,1090,0114,4003,"Intro to Molecular & Cell Biol"
BIOL,1090,0115,4004,"Intro to Molecular & Cell Biol"
BIOL,1090,0116,4005,"Intro to Molecular & Cell Biol"
BIOL,1090,0117,4006,"Intro to Molecular & Cell Biol"
BIOL,1090,0221,4010,"Intro to Molecular & Cell Biol"
BIOL,1090,0222,4011,"Intro to Molecular & Cell Biol"
BIOL,1090,0223,4012,"Intro to Molecular & Cell Biol"
BIOL,1090,0224,4013,"Intro to Molecular & Cell Biol"
BIOL,1090,0225,4014,"Intro to Molecular & Cell Biol"
BIOL,1090,0226,4015,"Intro to Molecular & Cell Biol"
BIOL,1090,0227,4016,"Intro to Molecular & Cell Biol"
BIOL,1090,0228,4017,"Intro to Molecular & Cell Biol"
BIOL,1090,0229,4018,"Intro to Molecular & Cell Biol"
BIOL,1090,0230,4019,"Intro to Molecular & Cell Biol"
BIOL,1090,0231,4020,"Intro to Molecular & Cell Biol"
BIOL,1090,0232,4021,"Intro to Molecular & Cell Biol"
BIOL,1090,0233,4022,"Intro to Molecular & Cell Biol"
BIOL,1090,0234,4023,"Intro to Molecular & Cell Biol"
BIOL,1090,0235,4024,"Intro to Molecular & Cell Biol"
BIOL,1090,0236,4025,"Intro to Molecular & Cell Biol"
BIOL,1090,0237,4026,"Intro to Molecular & Cell Biol"
BIOL,1090,0238,4027,"Intro to Molecular & Cell Biol"
BIOL,1090,0239,4028,"Intro to Molecular & Cell Biol"
BIOL,1500,01,4030,"Humans in the Natural World"
BIOL,2060,0101,4031,"Ecology"
BIOL,2060,0102,4032,"Ecology"
BIOL,2060,0103,4033,"Ecology"
BIOL,2060,0104,4034,"Ecology"
BIOL,2060,0105,4035,"Ecology"
BIOL,2060,0107,4037,"Ecology"
BIOL,2060,0108,4038,"Ecology"
BIOL,2060,0109,4039,"Ecology"
BIOL,2060,0110,4040,"Ecology"
BIOL,2400,01,4041,"Evolution"
BIOL,3010,01,4042,"Lab & Field Work in Ecology"
BIOL,3020,0101,4043,"Population Genetics"
BIOL,3020,0102,4044,"Population Genetics"
BIOL,3450,01,4045,"Introduction to Aquatic Enviro"
BIOL,4110,0101,4046,"Ecological Methods"
BIOL,4150,01,4047,"Wildlife Conservation & Manage"
BIOL,4350,0101,4048,"Limnology of Nat & Pltd Waters"
BIOL,4350,0102,4049,"Limnology of Nat & Pltd Waters"
BIOL,4410,0101,4050,"Field Ecology"
BIOL,4610,0101,4051,"Arctic Ecology"
BIOL,4700,0101,4052,"Field Biology"
BIOL,4800,0101,4054,"Field Biology"
BIOL,4900,0101,4056,"Field Biology"
BIOM,2000,01,4057,"Concepts in Human Physiology"
BIOM,3000,01,4058,"Functional Mammalian Neuroanat"
BIOM,3010,0101,4059,"Comparative Mammalian Anatomy"
BIOM,3010,0102,4060,"Comparative Mammalian Anatomy"
BIOM,3010,0103,4061,"Comparative Mammalian Anatomy"
BIOM,3090,DE,4062,"Principles of Pharmacology"
BIOM,3200,DE,4063,"Biomedical Physiology"
BIOM,3210,01,4064,"Critical Think in Health Sci"
BIOM,4070,0101,4065,"Biomedical Histology"
BIOM,4070,0102,4066,"Biomedical Histology"
BIOM,4090,01,4067,"Pharmacology"
BIOM,4300,01,4068,"Biomedical Communications"
BIOM,4500,01,4069,"Lit-Based Rsch in Biom. Sci."
BIOM,4510,01,4070,"Research in Biomedical Sci."
BIOM,4521,01,4071,"Research in Biomedical Sci."
BIOM,4522,01,4072,"Research in Biomedical Sci."
BOT,2100,0101,4081,"Life Strategies of Plants"
BOT,2100,0102,4082,"Life Strategies of Plants"
BOT,3050,0101,4083,"Plant Functional Ecology"
BOT,3050,0102,4084,"Plant Functional Ecology"
BOT,3410,0101,4085,"Plant Anatomy"
BUS,4550,01,4086,"Applied Business Project I"
BUS,4550,02,6757,"Applied Business Project I"
BUS,4560,01,4087,"Applied Business Project II"
BUS,4560,02,6758,"Applied Business Project II"
CHEM,1040,0103,4108,"General Chemistry I"
CHEM,1040,0105,4110,"General Chemistry I"
CHEM,1040,0107,4112,"General Chemistry I"
CHEM,1040,0109,4114,"General Chemistry I"
CHEM,1040,0111,4116,"General Chemistry I"
CHEM,1040,01XX,4118,"General Chemistry I"
CHEM,1040,0247,4140,"General Chemistry I"
CHEM,1040,02XX,4144,"General Chemistry I"
CHEM,1040,03XX,4169,"General Chemistry I"
CHEM,1040,04XX,4196,"General Chemistry I"
CHEM,1040,0514,4198,"General Chemistry I"
CHEM,1040,0519,4203,"General Chemistry I"
CHEM,1040,0520,4204,"General Chemistry I"
CHEM,1040,0525,4209,"General Chemistry I"
CHEM,1040,05A4,4212,"General Chemistry I"
CHEM,1040,05A8,4216,"General Chemistry I"
CHEM,1040,05B1,4218,"General Chemistry I"
CHEM,1040,05B5,4222,"General Chemistry I"
CHEM,1040,05XX,4227,"General Chemistry I"
CHEM,1050,0101,4228,"General Chemistry II"
CHEM,1050,0102,4229,"General Chemistry II"
CHEM,1050,0103,4230,"General Chemistry II"
CHEM,1050,0104,4231,"General Chemistry II"
CHEM,1050,0107,4234,"General Chemistry II"
CHEM,1050,0108,4235,"General Chemistry II"
CHEM,1050,0109,4236,"General Chemistry II"
CHEM,1050,0110,4237,"General Chemistry II"
CHEM,1050,0113,4240,"General Chemistry II"
CHEM,1050,0114,4241,"General Chemistry II"
CHEM,1050,0115,4242,"General Chemistry II"
CHEM,1050,0116,4243,"General Chemistry II"
CHEM,1050,0117,4244,"General Chemistry II"
CHEM,1050,0118,4245,"General Chemistry II"
CHEM,1050,0119,4246,"General Chemistry II"
CHEM,1050,0120,4247,"General Chemistry II"
CHEM,1050,0121,4248,"General Chemistry II"
CHEM,1050,0122,4249,"General Chemistry II"
CHEM,1050,0123,4250,"General Chemistry II"
CHEM,1050,0124,4251,"General Chemistry II"
CHEM,1050,01XX,4252,"General Chemistry II"
CHEM,1060,DE,4253,"Introductory Chemistry"
CHEM,2060,0101,4254,"Structure and Bonding"
CHEM,2400,0101,4255,"Analytical Chemistry I"
CHEM,2400,0103,4257,"Analytical Chemistry I"
CHEM,2400,0104,4258,"Analytical Chemistry I"
CHEM,2400,0105,4259,"Analytical Chemistry I"
CHEM,2400,01XX,4260,"Analytical Chemistry I"
CHEM,2480,0101,4261,"Analytical Chemistry I"
CHEM,2480,0102,4262,"Analytical Chemistry I"
CHEM,2480,0103,4263,"Analytical Chemistry I"
CHEM,2480,0104,4264,"Analytical Chemistry I"
CHEM,2480,0105,4265,"Analytical Chemistry I"
CHEM,2480,0106,4266,"Analytical Chemistry I"
CHEM,2480,0107,6984,"Analytical Chemistry I"
CHEM,2480,01XX,4267,"Analytical Chemistry I"
CHEM,2820,0101,4268,"Thermodynamics and Kinetics"
CHEM,2820,0102,4269,"Thermodynamics and Kinetics"
CHEM,2820,0103,4270,"Thermodynamics and Kinetics"
CHEM,2880,0101,4271,"Physical Chemistry"
CHEM,3440,0101,4272,"Analytical Chemistry III"
CHEM,3440,0102,4273,"Analytical Chemistry III"
CHEM,3440,0103,6935,"Analytical Chemistry III"
CHEM,3640,0101,4274,"Chemistry of the Elements I"
CHEM,3640,0102,4275,"Chemistry of the Elements I"
CHEM,3640,0103,4276,"Chemistry of the Elements I"
CHEM,3640,0104,4277,"Chemistry of the Elements I"
CHEM,3640,0105,4278,"Chemistry of the Elements I"
CHEM,3750,0101,4279,"Organic Chemistry II"
CHEM,3750,0102,4280,"Organic Chemistry II"
CHEM,3750,0103,4281,"Organic Chemistry II"
CHEM,3750,0104,4282,"Organic Chemistry II"
CHEM,3750,0105,4283,"Organic Chemistry II"
CHEM,3750,0106,4284,"Organic Chemistry II"
CHEM,3750,0107,4285,"Organic Chemistry II"
CHEM,3750,0108,4286,"Organic Chemistry II"
CHEM,3750,01XX,4289,"Organic Chemistry II"
CHEM,3860,0101,4290,"Quantum Chemistry"
CHEM,4620,01,4291,"Adv. Topics in Inorganic Chem."
CHEM,4730,01,4292,"Synthetic Organic Chemistry"
CHEM,4740,01,4293,"Topics in Bio-Organic Chem"
CHEM,4900,01,4294,"Chemistry Research Project I"
CHEM,4910,01,4295,"Chemistry Research Project II"
